start_station_name,trip_count,start_lat,start_lng
Broadway & W 29 St,398465,40.746383548,-73.9886415
10 Ave & W 28 St,395672,40.750582099,-74.001874924
W 27 St & 7 Ave,394353,40.746647,-73.993915
8 Ave & W 16 St,389647,40.740983,-74.001702
Washington St & Gansevoort St,389406,40.739323,-74.008119
1 Ave & E 18 St,388501,40.73381219196632,-73.98054420948029
Vesey Pl & River Terrace,388307,40.7153379,-74.01658354
Metropolitan Ave & Bedford Ave,386699,40.71534825,-73.96024116
1 Ave & E 16 St,385746,40.732091188,-73.98168242
5 Ave & E 72 St,381010,40.77282817,-73.96685276
West End Ave & W 60 St,375269,40.77237,-73.99005
E 16 St & 5 Ave,374031,40.73726186,-73.99238967
1 Ave & E 62 St,371835,40.7612274,-73.96094022
9 Ave & W 45 St,366916,40.759989262,-73.99142015
10 Ave & W 14 St,366892,40.74198159994023,-74.00831580162048
8 Ave & W 33 St,364039,40.751551,-73.993934
W 20 St & 7 Ave,363555,40.74238787,-73.99726235
Cooper Square & Astor Pl,363232,40.72951496224949,-73.99075269699097
FDR Drive & E 35 St,359093,40.744269133,-73.971036077
Great Jones St,358759,40.72743423,-73.99379025
E 85 St & 3 Ave,356525,40.77801203,-73.95407149
11 Ave & W 27 St,354468,40.751396,-74.005226
Allen St & Stanton St,354366,40.722055,-73.989111
W 22 St & 8 Ave,352186,40.74475148,-73.99915362
Broadway & W 41 St,350697,40.75513557,-73.98658032
8 Ave & W 52 St,349026,40.76370739,-73.9851615
Allen St & Rivington St,348868,40.72019576,-73.98997825
Ave A & E 14 St,347828,40.730143428,-73.980765462
E 72 St & York Ave,346110,40.76663814,-73.95348296
North Moore St & Greenwich St,343372,40.72019521437465,-74.0103006362915
Mott St & Prince St,343043,40.72317958,-73.99480012
E 32 St & Park Ave,341854,40.7457121,-73.98194829
Suffolk St & Stanton St,341566,40.72066442,-73.98517977
E 31 St & 3 Ave,341386,40.74394314,-73.97966069
Central Park West & W 68 St,340090,40.7734066,-73.97782542
2 Ave & E 29 St,340089,40.74172351097472,-73.97809267044067
W 18 St & 6 Ave,339298,40.73971301,-73.99456405
W 42 St & 6 Ave,339186,40.75492,-73.98455
St Marks Pl & 2 Ave,338631,40.7284186,-73.98713956
W 37 St & 10 Ave,338609,40.75660359,-73.9979009
E 15 St & 3 Ave,336681,40.734232,-73.986923
2 Ave & E 72 St,336263,40.7687620293096,-73.95840793848038
E 25 St & 2 Ave,335385,40.73912601,-73.97973776
W 13 St & 5 Ave,334978,40.735445,-73.99431
W 70 St & Amsterdam Ave,334667,40.777408361,-73.982750893
4 Ave & E 12 St,334508,40.732647,-73.99011
W 20 St & 10 Ave,333485,40.745686,-74.005141
2 Ave & E 31 St,333017,40.74290902,-73.97706058
Central Park West & W 72 St,332972,40.77579376683666,-73.9762057363987
S 4 St & Wythe Ave,332052,40.71285887,-73.96590294
E 27 St & 1 Ave,329960,40.739445,-73.976806
Centre St & Chambers St,329959,40.71273266,-74.0046073
W 45 St & 8 Ave,329241,40.75947392,-73.988934755
Broadway & W 56 St,326956,40.7652654,-73.98192338
E 11 St & 1 Ave,325846,40.72953837,-73.98426726
E 13 St & 2 Ave,324978,40.73153937464073,-73.9853024482727
E 23 St & 1 Ave,324809,40.736502,-73.97809472
W 54 St & 11 Ave,322683,40.768333,-73.992573
W 13 St & 7 Ave,322129,40.73781509,-73.99994661
