start_station_name,end_station_name,trip_count,start_lat,start_lng,e_lat,e_lng
E 85 St & York Ave,E 85 St & 3 Ave,13640,40.77536905,-73.94803392,40.77801203,-73.95407149
11 Ave & W 41 St,W 34 St & Hudson Blvd E,13573,40.76030096,-73.99884222,40.75516719072139,-74.00059908628464
Central Park West & W 76 St,Central Park West & W 76 St,13569,40.77896784,-73.97374737,40.778968,-73.973747
Willoughby St & Fleet St,Adelphi St & Myrtle Ave,13409,40.69196566,-73.9813018,40.69308257,-73.97178913
Lenox Ave & W 111 St,Lenox Ave & W 111 St,13343,40.7987859,-73.9523,40.7987859,-73.9523
5 Ave & E 63 St,5 Ave & E 63 St,13318,40.766368,-73.971518,40.766368,-73.971518
Broadway & W 41 St,Broadway & W 41 St,13202,40.75513557,-73.98658032,40.75513557,-73.98658032
W 84 St & Columbus Ave,Columbus Ave & W 72 St,13177,40.78499979,-73.97283406,40.7770575,-73.97898475
Atlantic Ave & Furman St,Atlantic Ave & Furman St,13171,40.69165183,-73.9999786,40.69165183,-73.9999786
W 22 St & 8 Ave,W 22 St & 10 Ave,13042,40.74475148,-73.99915362,40.74691959,-74.00451887
University Pl & E 8 St,University Pl & E 14 St,13014,40.73143724085228,-73.99490341544151,40.734814,-73.992085
E 27 St & 1 Ave,W 31 St & 7 Ave,12998,40.739445,-73.976806,40.749156,-73.9916
46 Ave & 5 St,45 Ave & 21 St,12980,40.74731,-73.95451,40.74737075646803,-73.94777297973631
Broadway & Berry St,N 6 St & Bedford Ave,12942,40.71044554,-73.96525063,40.71745169,-73.95850939
11 Ave & W 59 St,W 59 St & 10 Ave,12916,40.77149671054441,-73.99046033620834,40.770513,-73.988038
Vernon Blvd & 50 Ave,McGuinness Blvd & Eagle St,12894,40.74232744,-73.95411749,40.73555,-73.95284
Graham Ave & Conselyea St,Richardson St & N Henry St,12733,40.715143,-73.944507,40.71907891179564,-73.94223690032959
S 5 Pl & S 5 St,S 5 Pl & S 5 St,12693,40.710451,-73.960876,40.710451,-73.960876
W 20 St & 10 Ave,W 21 St & 6 Ave,12683,40.745686,-74.005141,40.74173969,-73.99415556
Pier 40 - Hudson River Park,Pier 40 - Hudson River Park,12653,40.7277140777778,-74.01129573583603,40.7277140777778,-74.01129573583603
1 Ave & E 16 St,E 23 St & 1 Ave,12614,40.732091188,-73.98168242,40.736502,-73.97809472
W 70 St & Amsterdam Ave,West End Ave & W 60 St,12562,40.777408361,-73.982750893,40.77237,-73.99005
E 77 St & 1 Ave,E 77 St & 3 Ave,12540,40.77095553869235,-73.95356208096926,40.77314236,-73.95856158
Pier 40 - Hudson River Park,12 Ave & W 40 St,12513,40.7277140777778,-74.01129573583603,40.76087502,-74.00277668
1 Ave & E 68 St,1 Ave & E 62 St,12476,40.76500525,-73.95818491,40.7612274,-73.96094022
7 Ave & Central Park South,5 Ave & E 87 St,12457,40.7667405590595,-73.9790689945221,40.78232260730881,-73.95987510681152
FDR Drive & E 35 St,FDR Drive & E 35 St,12456,40.744269133,-73.971036077,40.744219,-73.97121214
W 42 St & 6 Ave,11 Ave & W 41 St,12374,40.75492,-73.98455,40.76030096,-73.99884222
45 Ave & 21 St,46 Ave & 5 St,12366,40.74737075646803,-73.94777297973631,40.74731,-73.95451
3 Ave & E 62 St,1 Ave & E 68 St,12330,40.763287902,-73.965409756,40.76500525,-73.95818491
Milton St & Franklin St,Kent Ave & N 7 St,12329,40.72906,-73.95779,40.72036775298455,-73.96165072917938
E 33 St & 1 Ave,2 Ave & E 31 St,12303,40.74322681432173,-73.97449783980846,40.74290902,-73.97706058
10 Ave & W 14 St,West St & Liberty St,12267,40.74198159994023,-74.00831580162048,40.711444,-74.014847
West St & Chambers St,Christopher St & Greenwich St,12221,40.717683315,-74.013174415,40.73291553,-74.00711384
Plaza St West & Flatbush Ave,3 St & Prospect Park West,12213,40.6750207,-73.97111473,40.668132,-73.97363831
West St & Liberty St,Pier 40 - Hudson River Park,12149,40.711444,-74.014847,40.7277140777778,-74.01129573583603
Central Park W & W 91 St,Central Park W & W 91 St,12105,40.78866499127884,-73.96680057048798,40.78866499127884,-73.96680057048798
Central Park S & 6 Ave,Central Park West & W 72 St,12093,40.76590936,-73.97634151,40.77579376683666,-73.9762057363987
Central Park North & Adam Clayton Powell Blvd,7 Ave & Central Park South,12089,40.799484,-73.955613,40.7667405590595,-73.9790689945221
Grand St & Elizabeth St,Clinton St & Grand St,12067,40.718822,-73.99596,40.71559509,-73.9870295
1 Ave & E 16 St,E 27 St & 1 Ave,12065,40.732091188,-73.98168242,40.739445,-73.976806
W 64 St & Thelonious Monk Circle,W 70 St & Amsterdam Ave,12021,40.77515953434235,-73.98918695747852,40.77748046,-73.98288594
3 St & Prospect Park West,Plaza St West & Flatbush Ave,12007,40.668132,-73.97363831,40.6750207,-73.97111473
W 21 St & 6 Ave,10 Ave & W 28 St,11975,40.74173969,-73.99415556,40.75066386,-74.00176802
E 7 St & Ave B,Cooper Square & Astor Pl,11958,40.7251285241158,-73.98131668567657,40.72951496224949,-73.99075269699097
W 21 St & 6 Ave,W 20 St & 10 Ave,11943,40.74173969,-73.99415556,40.745686,-74.005141
Washington St & Gansevoort St,Washington St & Gansevoort St,11942,40.739323,-74.008119,40.739323,-74.008119
Old Fulton St,Old Fulton St,11926,40.70277159,-73.99383605,40.70277159,-73.99383605
W 21 St & 6 Ave,W 20 St & 8 Ave,11917,40.74173969,-73.99415556,40.74345335,-74.00004031
31 St & Newtown Ave,Newtown Ave & 23 St,11896,40.7675487799971,-73.9209334552288,40.7713615,-73.9246145
Center Blvd & 51 Ave,Center Blvd & 51 Ave,11878,40.74336608027021,-73.95960688591003,40.74336608027021,-73.95960688591003
Columbus Ave & W 72 St,Columbus Ave & W 72 St,11875,40.7770575,-73.97898475,40.7770575,-73.97898475
E 68 St & 3 Ave,1 Ave & E 68 St,11839,40.76712840349542,-73.96224617958069,40.76500525,-73.95818491
Vernon Blvd & 50 Ave,Center Blvd & 51 Ave,11795,40.74232744,-73.95411749,40.74336608027021,-73.95960688591003
Cleveland Pl & Spring St,Cleveland Pl & Spring St,11701,40.722103786686034,-73.99724900722504,40.722103786686034,-73.99724900722504
10 Ave & W 14 St,10 Ave & W 14 St,11700,40.74198159994023,-74.00831580162048,40.74198159994023,-74.00831580162048
India St & Manhattan Ave,Franklin St & Dupont St,11690,40.73232194,-73.9550858,40.73564,-73.95866
Franklin St & Dupont St,India St & Manhattan Ave,11684,40.73564,-73.95866,40.73232194,-73.9550858
W 30 St & 10 Ave,W 30 St & 10 Ave,11673,40.752694,-74.002353,40.752694,-74.002353
Central Park West & W 85 St,Central Park West & W 85 St,11667,40.78476,-73.969862,40.78476,-73.969862
E 33 St & 1 Ave,6 Ave & W 34 St,11565,40.74322681432173,-73.97449783980846,40.74964,-73.98805
West St & Chambers St,West St & Liberty St,11504,40.717683315,-74.013174415,40.711444,-74.014847
Columbus Ave & W 72 St,W 63 St & Broadway,11436,40.7770575,-73.97898475,40.77163851,-73.98261428
1 Ave & E 68 St,1 Ave & E 78 St,11435,40.76500525,-73.95818491,40.77140426,-73.9535166
W 54 St & 9 Ave,9 Ave & W 45 St,11425,40.76584941,-73.98690506,40.76019252,-73.9912551
Vesey Pl & River Terrace,Vesey Pl & River Terrace,11380,40.7153379,-74.01658354,40.7153379,-74.01658354
Little West St & 1 Pl,Little West St & 1 Pl,11349,40.705701232,-74.016636729,40.70569254,-74.01677685
Metropolitan Ave & Bedford Ave,Hope St & Union Ave,11328,40.71534825,-73.96024116,40.71167351,-73.95141312
Central Park West & W 68 St,Central Park West & W 72 St,11274,40.7734066,-73.97782542,40.77579376683666,-73.9762057363987
46 Ave & 5 St,44 Dr & Jackson Ave,11271,40.74731,-73.95451,40.74718234,-73.9432635
